"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr","pred"
"2578",0.2,"California","West","No Input",5,"Not Bulk","5",1.08427224733984
"2579",0.5,"Washington","West","No Input",10,"Not Bulk","10",0.795351133909905
"2580",0.9,"Utah","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2581",0.5,"Illinois","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2582",1,"Kansas","Midwest","No Input",10,"Not Bulk","10",0.795351133909905
"2583",1,"Oklahoma","South","Personal",10,"Not Bulk","10",0.769748766368869
"2584",1,"New Hampshire","Northeast","No Input",10,"Bulk","10",0.708779250836183
"2585",1,"New Hampshire","Northeast","Heard it",10,"Bulk","10",0.744725817043376
"2586",0.5,"New Mexico","West","Heard it",10,"Bulk","10",0.744725817043376
"2587",0.6,"Nevada","West","No Input",5,"Not Bulk","5",1.08427224733984
"2588",1,"Minnesota","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2589",0.6,"Ohio","Midwest","Personal",10,"Not Bulk","10",0.769748766368869
"2590",0.6,"Wisconsin","Midwest","Internet",5,"Not Bulk","5",1.00063083047714
"2591",1,"Kentucky","South","Personal",10,"Not Bulk","10",0.769748766368869
"2592",1.5,"Louisiana","South","Personal",10,"Not Bulk","10",0.769748766368869
"2593",0.5,"South Carolina","South","No Input",10,"Not Bulk","10",0.795351133909905
"2594",0.2,"California","West","No Input",10,"Not Bulk","10",0.795351133909905
"2595",1,"Oklahoma","South","Heard it",10,"Not Bulk","10",0.831297700117098
"2596",1,"Alabama","South","No Input",10,"Not Bulk","10",0.795351133909905
"2597",0.5,"New York","Northeast","Personal",10,"Bulk","10",0.683176883295147
"2598",0.6,"California","West","Heard it",5,"Not Bulk","5",1.12021881354703
"2599",0.5,"Oregon","West","Internet",10,"Not Bulk","10",0.711709717047208
"2600",1,"Washington","West","Heard it",10,"Not Bulk","10",0.831297700117098
"2601",0.5,"California","West","Heard it",10,"Not Bulk","10",0.831297700117098
